lang,model,task,f1_full,f1_text_obfuscated,f1_visual_obfuscated,text_reliance,visual_reliance
tamil,clip_image_linear_probe,sentiment,0.2931,0.3013,0.2651,-0.028,0.0955
tamil,clip_image_linear_probe,sarcasm,0.7175,0.6149,0.6316,0.143,0.1197
tamil,clip_image_linear_probe,vulgar,0.4904,0.4969,0.4984,-0.0133,-0.0163
tamil,clip_image_linear_probe,abuse,0.4872,0.4937,0.4969,-0.0133,-0.0199
tamil,clip_image_linear_probe,target,0.1914,0.1642,0.2279,0.1421,-0.1907
tamil,dinov2_image_linear_probe,sentiment,0.3822,0.402,0.3288,-0.0518,0.1397
tamil,dinov2_image_linear_probe,sarcasm,0.6104,0.6204,0.584,-0.0164,0.0433
tamil,dinov2_image_linear_probe,vulgar,0.4953,0.4953,0.4984,0.0,-0.0063
tamil,dinov2_image_linear_probe,abuse,0.4921,0.4872,0.4937,0.01,-0.0033
tamil,dinov2_image_linear_probe,target,0.2231,0.1828,0.1351,0.1806,0.3944
tamil,zeroshot_vlm_qwen2_5vl,sentiment,0.3013,0.331,0.2313,-0.0986,0.2323
tamil,zeroshot_vlm_qwen2_5vl,sarcasm,0.6033,0.5465,0.4753,0.0941,0.2122
tamil,zeroshot_vlm_qwen2_5vl,vulgar,0.4984,0.4984,0.4984,0.0,0.0
tamil,zeroshot_vlm_qwen2_5vl,abuse,0.4969,0.4969,0.4969,0.0,0.0
tamil,zeroshot_vlm_qwen2_5vl,target,0.2768,0.253,0.306,0.086,-0.1055
telugu,clip_image_linear_probe,sentiment,0.3935,0.3558,0.3134,0.0958,0.2036
telugu,clip_image_linear_probe,sarcasm,0.7186,0.6212,0.5535,0.1355,0.2298
telugu,clip_image_linear_probe,vulgar,0.6311,0.5946,0.5671,0.0578,0.1014
telugu,clip_image_linear_probe,abuse,0.5814,0.4719,0.4788,0.1883,0.1765
telugu,clip_image_linear_probe,target,0.3728,0.1462,0.1064,0.6078,0.7146
telugu,dinov2_image_linear_probe,sentiment,0.436,0.4069,0.3778,0.0667,0.1335
telugu,dinov2_image_linear_probe,sarcasm,0.5733,0.6151,0.5475,-0.0729,0.045
telugu,dinov2_image_linear_probe,vulgar,0.5429,0.5022,0.5038,0.075,0.072
telugu,dinov2_image_linear_probe,abuse,0.5119,0.4631,0.4805,0.0953,0.0613
telugu,dinov2_image_linear_probe,target,0.2418,0.2719,0.1217,-0.1245,0.4967
telugu,zeroshot_vlm_qwen2_5vl,sentiment,0.5208,0.4201,0.4428,0.1934,0.1498
telugu,zeroshot_vlm_qwen2_5vl,sarcasm,0.6163,0.5393,0.4846,0.1249,0.2137
telugu,zeroshot_vlm_qwen2_5vl,vulgar,0.4649,0.4649,0.4649,0.0,0.0
telugu,zeroshot_vlm_qwen2_5vl,abuse,0.4839,0.4839,0.4839,0.0,0.0
telugu,zeroshot_vlm_qwen2_5vl,target,0.2128,0.302,0.1981,-0.4192,0.0691
